id,mstarId,name,isin
2,F00000PCUX,Aditya Birla Sun Life Balanced Advantage Fund Direct Plan Dividend Payout Option,INF084M01DL1
3,F00000PCUW,Aditya Birla Sun Life Balanced Advantage Fund Direct Plan Growth Option,INF084M01DJ5
4,F00000Z7GZ,Aditya Birla Sun Life Balanced Advantage Fund Dividend Reinvestment,INF084M01AD4
5,F0GBR06RQX,Aditya Birla Sun Life Balanced Advantage Fund Growth,INF084M01AB8
6,F00000MI93,IDBI Equity Savings Monthly Dividend Payout,INF397L01257
7,F00000PCSM,IDBI Equity Savings Direct Monthly Dividend Payout,INF397L01BA6
8,F00000MI92,IDBI Equity Savings Growth,INF397L01315
9,F00000PCSL,IDBI Equity Savings Growth Option Direct,INF397L01AZ5
10,F00000PCSO,IDBI Equity Savings Direct Quarterly Dividend Payout,INF397L01BD0
11,F00000MI94,IDBI Equity Savings Quarterly Dividend Payout,INF397L01281
12,F00000Z8C5,IDBI Hybrid Equity Fund Direct Dividend Reinvestment,INF397L01JA9
13,F00000Z8C6,IDBI Hybrid Equity Fund Regular Dividend Reinvestment,INF397L01JE1
14,F00000Y20P,IDBI Hybrid Equity Fund Direct Growth,INF397L01JC5
15,F00000Y20N,IDBI Hybrid Equity Fund Regular Growth,INF397L01JG6
16,F00000Z8MJ,Kotak Equity Hybrid Fund Dividend Reinvestment,INF174K01443
17,F00000PCYD,Kotak Equity Hybrid Direct Dividend Payout,INF174K01LM5
18,F00000UP24,Kotak Equity Hybrid Regular Growth,INF174K01E92
19,F00000UP76,Kotak Equity Hybrid Direct Growth,INF174K01F00
23,F00000OBM7,Axis Banking & PSU Debt Fund Daily Dividend Reinvestment,INF846K01CC8
25,F00000PCQC,Axis Banking & PSU Debt Fund Direct Plan Daily Dividend Reinvestment Option,INF846K01CU0
26,F00000PCQD,Axis Banking & PSU Debt Fund Direct Plan Growth Option,INF846K01CR6
27,F00000PKS3,Axis Banking & PSU Debt Fund Direct Plan Monthly Dividend Payout Option,INF846K01CT2
28,F00000PFL6,Axis Banking & PSU Debt Fund Direct Plan Weekly Dividend Payout,INF846K01CV8
29,F00000OBM6,Axis Banking & PSU Debt Fund Growth,INF846K01CB0
30,F00000OBM9,Axis Banking & PSU Debt Fund Monthly Dividend Payout,INF846K01CF1
31,F00000OBM8,Axis Banking & PSU Debt Fund Weekly Dividend Payout,INF846K01CD6
33,F00000PN95,PGIM India Banking And PSU Debt Fund Monthly Dividend Payout,INF223J01SU0
35,F00000TF99,PGIM India Banking And PSU Debt Fund Quarterly Dividend Payout,INF223J01VV2
37,F00000PN94,PGIM India Banking And PSU Debt Fund Growth,INF223J01SW6
40,F00000VHW4,PGIM India Banking and PSU Debt fund Direct Plan Annual Dividend Payout,INF223J01WD8
41,F00000PN97,PGIM India Banking And PSU Debt Fund Direct Plan Monthly Dividend Payout,INF223J01SX4
44,F00000PN96,PGIM India Banking And PSU Debt Fund Direct Plan Growth,INF223J01SZ9
46,F00000QG2I,DSP Banking & PSU Debt Fund Direct Dividend Payout,INF740K01A18
47,F00000QG2C,DSP Banking & PSU Debt Fund Direct Growth,INF740K01ZW2
48,F00000QG2G,DSP Banking & PSU Debt Fund Direct Monthly Dividend Payout,INF740K01ZX0
49,F00000QG2H,DSP Banking & PSU Debt Fund Direct Quarterly Dividend Payout,INF740K01ZZ5
52,F00000QG2B,DSP Banking & PSU Debt Fund Regular Dividend Payout,INF740K01ZU6
53,F00000QG26,DSP Banking & PSU Debt Fund Regular Growth,INF740K01ZP6
54,F00000QG29,DSP Banking & PSU Debt Fund Regular Monthly Dividend Payout,INF740K01ZQ4
55,F00000QG2A,DSP Banking & PSU Debt Fund Regular Quarterly Dividend Payout,INF740K01ZS0
57,F00000ZYGZ,Edelweiss Banking and PSU Debt Fund Direct Plan Dividend Payout Option,INF843K01FD6
58,F00000QFPD,Edelweiss Banking and PSU Debt Fund Direct Growth,INF843K01FC8
59,F00000QG0J,Edelweiss Banking and PSU Debt Fund Direct Plan Monthly Dividend Payout Option,INF843K01FI5
60,F00000Z7VB,Edelweiss Banking and PSU Debt Fund Direct Weekly Dividend Reinvestment,INF843K01FF1
61,F00000QFPC,Edelweiss Banking and PSU Debt Fund Regular Dividend Payout,INF843K01FL9
62,F00000QFPB,Edelweiss Banking and PSU Debt Fund Regular Growth,INF843K01FK1
63,F00000Z7VD,Edelweiss Banking and PSU Debt Fund Regular Plan Monthly Dividend Reinvestment Option,INF843K01FP0
64,F00000Z7V9,Edelweiss Banking and PSU Debt Fund Regular Weekly Dividend Reinvestment,INF843K01FN5
65,F00000Z7Y5,Franklin India Banking & PSU Debt Fund Direct Dividend Reinvestment,INF090I01KT4
66,F00000T8RZ,Franklin India Banking & PSU Debt Fund Direct Growth,INF090I01KR8
67,F00000Z7Y6,Franklin India Banking & PSU Debt Fund Dividend Reinvestment,INF090I01KQ0
68,F00000T8RV,Franklin India Banking & PSU Debt Fund Growth,INF090I01KO5
69,F00000T2OM,HDFC Banking & PSU Debt Fund Direct Plan Dividend Payout Option,
70,F00000T2ON,HDFC Banking & PSU Debt Fund Direct Plan Growth Option,INF179KA1IZ7
71,F00000T2OO,HDFC Banking & PSU Debt Fund Regular Plan Dividend Payout Option,INF179KA1JD2
72,F00000T2OP,HDFC Banking & PSU Debt Fund Regular Plan Growth Option,INF179KA1JC4
73,F00000NPFJ,ICICI Prudential Banking and PSU Debt Fund Daily Dividend Payout,
74,F00000Z85G,ICICI Prudential Banking and PSU Debt Fund Weekly Dividend Reinvestment,INF109K01RU1
76,F00000PH1V,ICICI Prudential Banking and PSU Debt Fund Direct Plan Daily Dividend Payout,
77,F00000PRQB,ICICI Prudential Banking and PSU Debt Fund Direct Plan Growth,INF109K010A6
78,F00000Q8RA,ICICI Prudential Banking and PSU Debt Fund Direct Plan Quarterly Dividend Payout,INF109K012A2
79,F00000PH29,ICICI Prudential Banking and PSU Debt Fund Direct Plan Weekly Dividend Payout,INF109K014A8
81,F00000U563,ICICI Prudential Banking and PSU Debt Fund Direct Plan Half Yearly Dividend Payout Option,INF109KA1M88
82,F000005QNQ,ICICI Prudential Banking and PSU Debt Fund Growth,INF109K01RT3
83,F00000PWBS,ICICI Prudential Banking and PSU Debt Fund Retail Plan Quarterly Dividend Payout,INF109K01YD3
84,F00000VCTF,ICICI Prudential Banking and PSU Debt Fund Half Yearly Dividend Payout Option,INF109KA1M62
88,F00000SRZN,IDFC Banking & PSU Debt Fund-Direct Plan- Daily Dividend Reinvestment,INF194KA1JD3
89,F00000Z8D7,IDFC Banking & PSU Debt Fund Direct Dividend Reinvestment,INF194K016G6
90,F00000Z8D8,IDFC Banking & PSU Debt Fund-Direct Plan- Fortnightly Dividend Reinvestment,INF194K010N5
91,F00000PN5K,IDFC Banking & PSU Debt Fund Direct Growth,INF194K015G8
92,F00000Z8D9,IDFC Banking & PSU Debt Fund-Direct Plan- Monthly Dividend Reinvestment,INF194K011N3
93,F00000T5DH,IDFC Banking & PSU Debt Fund-Direct Plan- Quarterly Dividend Payout,INF194K018M0
94,F00000T3MM,IDFC Banking & PSU Debt Fund-Regular Plan- Annual Dividend Payout,INF194K015M6
95,F00000SQOT,IDFC Banking & PSU Debt Fund-Regular Plan- Daily Dividend Reinvestment,INF194KA1JC5
96,F00000Z8DB,IDFC Banking & PSU Debt Fund Regular Dividend Reinvestment,INF194K01SO4
97,F00000Z8DC,IDFC Banking & PSU Debt Fund-Regular Plan- Fortnightly Dividend Reinvestment,INF194K016M4
98,F00000PN5I,IDFC Banking & PSU Debt Fund Regular Growth,INF194K01SN6
