id,symbol,name,isin
23450,20MICRONS,20 Microns Ltd,INE144J01027
20650,3IINFOTECH,3i Infotech Ltd,INE748C01020
2096,3MINDIA,3M India Ltd,INE470A01017
4141,3PLAND,3P Land Holdings Ltd,INE105C01023
64852,3RDROCK,3rd Rock Multimedia Ltd,INE768P01012
7376,531925,52 Weeks Entertainment Ltd,INE545N01019
68848,5PAISA,5Paisa Capital Ltd,INE618L01018
4756,63MOONS,63 Moons Technologies Ltd,INE111B01023
71076,540615,7NR Retail Ltd,INE413X01019
28404,540874,7Seas Entertainment Ltd,INE454F01010
24603,8KMILES,8K Miles Software Services Ltd,INE650K01021
71348,540697,A & M Febcon Ltd,INE319X01018
71769,AMJUMBO,A and M Jumbo Bags Ltd,INE749Y01014
73120,ABINFRA,A B Infrabuild Ltd,INE00YB01017
24005,ABMINTLTD,A B M International Ltd,INE251C01017
66000,ABNINT,A B N Intercorp Ltd,INE982R01015
1600,523031,A D S Diagnostic Ltd,
41244,538351,A F Enterprises Ltd,INE663P01015
7737,539620,A Infrastructure Ltd,INE534E01020
6225,539300,A K Spintex Ltd,INE671K01019
26017,540135,A R C Finance Ltd,INE202R01018
65131,542012,A-1 Acid Ltd,INE911Z01017
5044,530499,A.K.Capital Services Ltd,INE701G01012
29545,A2ZINFRA,A2Z Infra Engineering Ltd,INE619I01012
6991,531611,Aadhaar Ventures India Ltd,INE063D01030
4804,530027,Aadi Industries Ltd,INE563D01013
7397,531866,Aagam Capital Ltd,INE817D01013
72253,AAKASH,Aakash Exploration Services Ltd,INE087Z01016
43999,539096,Aananda Lakshmi Spinning Mills Ltd,INE197R01010
64819,538812,Aanchal Ispat Ltd,INE322R01014
33370,539632,AAR Commercial Company Ltd,INE184K01013
23167,542377,Aar Shyam (India) Investment Company Ltd,INE512R01010
7602,532024,Aarcon Facilities Ltd,INE056J01015
3360,524412,Aarey Drugs & Pharmaceuticals Ltd,INE198H01019
67535,539562,Aarnav Fashions Ltd,INE750R01016
73160,AARON,Aaron Industries Ltd,INE721Z01010
73294,542580,Aartech Solonics Ltd,INE01C001018
2975,AARTIDRUGS,Aarti Drugs Ltd,INE767A01016
2378,AARTIIND,Aarti Industries Ltd,INE769A01020
73396,AARTISURF,Aarti Surfactants Ltd,INE09EO01013
3827,526488,AARV Infratel Ltd,INE432N01010
3100,AARVEEDEN,Aarvee Denims & Exports Ltd,INE273D01019
44508,AARVI,Aarvi Encon Ltd,INE754X01016
6220,503673,Aastha Broadcasting Network Ltd,INE199B01028
6424,512038,Aaswa Trading and Exports Ltd,INE887D01016
45828,AAVAS,AAVAS Financiers Ltd,INE216P01012
51492,539528,Aayush Food And Herbs Ltd,INE430R01015
1093,ABAN,Aban Offshore Ltd,INE421A01028
24601,512165,ABans Enterprises Ltd,INE365O01010
242,ABB,ABB India Ltd,INE117A01022
74646,POWERINDIA,ABB Power Products and Systems India Ltd,INE07Y701011
90,ABBOTINDIA,Abbott India Ltd,INE358A01014
1101,513119,ABC Gas (International) Ltd,INE173M01012
3725,520123,ABC India Ltd,INE125D01011
14852,ABGSHIP,ABG Shipyard Ltd,INE067H01016
42583,539560,Abhijit Trading Company Ltd,INE994N01019
5990,532057,Abhinav Capital Services Ltd,INE516F01016
24399,538952,Abhinav Leasing & Finance Ltd,INE211D01027
27367,ABHISHEK,Abhishek Corporation Ltd,INE004I01017
6907,538935,Abhishek Finlease Ltd,INE723C01015
31998,539544,Abhishek Infraventures Ltd,INE281P01016
4693,511756,Abirami Financial Services (India) Ltd,INE195I01013
5942,531161,ABM Knowledgeware Ltd,INE850B01026
6,ACC,ACC Ltd,INE012A01025
4280,517494,Accel Ltd,INE258C01038
14927,ACCELYA,Accelya Solutions India Ltd,INE793A01012
7565,531897,Accentia Technologies Ltd,INE122B01012
3371,526347,Acclaim Industries Ltd,INE051E01017
70237,ACCORD,Accord Synergy Ltd,INE113X01015
65240,ACCURACY,Accuracy Shipping Ltd,INE648Z01015
4825,530093,ACE EduTrend Ltd,INE715F01014
70990,ACEINTEG,Ace Integrated Solutions Ltd,INE543V01017
3078,ACELAB,ACE Laboratories Ltd,
67649,539661,Ace Men Engg Works Ltd,INE023R01018
14129,531525,Ace Software Exports Ltd,INE849B01010
42279,536492,Ace Tours Worldwide Ltd,INE926O01019
66758,539570,Acewin Agriteck Ltd,INE742R01013
45829,538570,Achal Investments Ltd,INE860P01025
3330,517356,ACI Infocom Ltd,INE167B01025
6073,530901,Acil Cotton Industries Ltd,INE066C01035
4826,530043,Acknit Industries Ltd,INE326C01017
23248,539391,Acme Resources Ltd,INE636B01011
38892,ACROPETAL,AcroPetal Technologies Ltd,INE055L01013
819,513149,Acrow India Ltd,INE950D01012
1200,524091,Acrysil Ltd,INE482D01024
27338,ACE,Action Construction Equipments Ltd,INE731H01025
4607,511706,Action Financial Services (I) Ltd,INE357A01032
72266,541144,Active Clothing Co Ltd,INE380Z01015
3057,511359,AD Manum Finance Ltd,INE556D01017
4244,ADANIENT,Adani Enterprises Ltd,INE423A01024
39108,ADANIGAS,Adani Gas Ltd,INE399L01023
70666,ADANIGREEN,Adani Green Energy Ltd,INE364U01010
21281,ADANIPORTS,Adani Ports & Special Economic Zone Ltd,INE742F01042
17808,ADANIPOWER,Adani Power Ltd,INE814H01011
66273,ADANITRANS,Adani Transmission Ltd,INE931S01010
45794,538563,Adarsh Mercantile Ltd,INE673E01018
4481,526711,Adarsh Plant Protect Ltd,INE627D01016
2116,KRONECOMM,ADC India Communications Ltd,INE833A01016
4555,539506,Adcon Capital Services Ltd,INE805Q01010
73098,541865,Add-Shop E-Retail Ltd,INE01B501018
996,507852,Addi Industries Ltd,INE757C01021
2416,ADFFOODS,ADF Foods Ltd,INE982B01019
7739,539493,Adharshila Capital Services Ltd,INE269F01012
26015,539189,Adhbhut Infrastructure Ltd,INE578L01014
64826,780018,Adhiraj Distributors Ltd,INE067R01015
26063,ADHUNIKIND,Adhunik Industries Ltd,INE452L01012
27257,ADHUNIK,Adhunik Metaliks Ltd,INE400H01019
6860,532056,Adinath Exim Resources Ltd,INE398H01015
1154,514113,Adinath Textiles Ltd,INE207C01019
42736,534707,Aditri Industries Ltd,INE636N01016
40903,ABCAPITAL,Aditya Birla Capital Ltd,INE674K01013
40912,ABFRL,Aditya Birla Fashion & Retail Ltd,INE647O01011
74824,ABFRLPP,Aditya Birla Fashion & Retail Ltd Partly Paidup,IN9647O01019
14343,BIRLAMONEY,Aditya Birla Money Ltd,INE865C01022
74581,ABSLBANETF,Aditya Birla Sun Life Banking ETF,INF209KB1O58
73703,ABSLNN50ET,Aditya Birla Sun Life Nifty Next 50 ETF,INF209KB1B87
68822,540146,Aditya Consumer Marketing Ltd,INE427V01013
3230,522150,Aditya Forge Ltd,INE281H01013
3575,513513,Aditya Ispat Ltd,INE570B01012
3629,ADITYASPIN,Aditya Spinners Ltd,INE122D01026
69335,540205,Aditya Vision Ltd,INE679V01019
5062,530431,Ador Fontech Ltd,INE853A01022
1390,523120,Ador Multi Products Ltd,INE628D01014
799,ADORWELD,Ador Welding Ltd,INE045A01017
5571,ADROITINFO,Adroit Infotech Ltd,INE737B01033
3064,521048,Advance Lifestyles Ltd,INE900E01015
42260,AMTL,Advance Metering Technology Ltd,INE436N01029
3399,526331,Advance Multitech Ltd,INE875S01019
8,506947,Advance Petrochemicals Ltd,INE334N01018
5357,531047,Advance Powerinfra Tech Ltd,INE009D01017
67931,539982,Advance Syntex Ltd,INE184U01012
19816,ADVENZYMES,Advanced Enzyme Technologies Ltd,INE837H01020
4508,517552,Advanced Micronic Devices Ltd,INE903C01013
1467,ADVANIHOTR,Advani Hotels & Resorts (India) Ltd,INE199C01026
6593,531429,Advent Computer Services Ltd,INE101C01022
67920,539773,Advik Capital Ltd,INE178T01024
14103,531686,Advik Laboratories Ltd,INE537C01019
72298,541152,Advitiya Trade India Ltd,INE705X01018
9,AEGISCHEM,Aegis Logistics Ltd,INE208C01025
5726,503655,Aeonian Investments Company Ltd,INE421F01027
73060,AFFLE,Affle India Ltd,INE00WC01019
72538,541402,Affordable Robotic & Automation Ltd,INE692Z01013
5129,AFTEK,Aftek Ltd,INE796A01023
7400,AGARIND,Agarwal Industrial Corporation Ltd,INE204E01012
1079,AGCNET,AGC Networks Ltd,INE676A01019
65734,539042,AGI Infra Ltd,INE976R01017
1818,516020,Agio Paper & Industries Ltd,INE112C01011
44042,AGRITECH,Agri-Tech (India) Ltd,INE449G01018
44073,537492,Agrimony Commodities Ltd,INE567P01018
1969,AGRIHATCH,Agritech Hatcheries & Foods Ltd,
3270,AGRODUTCH,Agro Dutch Industries Ltd,INE135B01014
68973,AGROPHOS,Agro Phos India Ltd,INE740V01019
2146,ATFL,Agro Tech Foods Ltd,INE209A01019
66592,AHIMSA,Ahimsa Industries Ltd,INE136T01014
73236,AHLADA,Ahlada Engineers Ltd,INE00PV01013
7310,AHLUCONT,Ahluwalia Contracts (India) Ltd,INE758C01029
4382,522273,Ahmedabad Steelcraft Ltd,INE868C01018
6661,AICHAMP,AI Champdany Industries Ltd,INE768E01024
22825,AIAENG,AIA Engineering Ltd,INE212H01026
1569,506822,Aikyam Intellectual Property Consultancy Ltd,INE739N01026
2764,AIMCOPEST,Aimco Pesticides Ltd,INE008B01013
70221,AIRAN,Airan Ltd,INE645W01026
39209,AIROLAM,Airo Lam Ltd,INE801L01010
28174,532975,Aishwarya Technologies & Telecom Ltd,INE778I01024
13504,AJANTPHARM,Ajanta Pharma Ltd,INE031B01049
3123,519216,Ajanta Soya Ltd,INE601B01015
4589,511692,Ajcon Global Services Ltd,INE759C01019
5113,530713,Ajel Ltd,INE229B01015
2404,AJMERA,Ajmera Realty & Infra India Ltd,INE298G01027
71764,AJOONI,Ajooni Biotech Ltd,INE820Y01013
4208,526628,Ajwa Fun World & Resort Ltd,INE863E01015
5156,530621,Akar Auto Industries Ltd,INE864E01021
2683,AKARLAMIN,Akar Laminators Ltd,INE984C01013
35318,AKASH,Akash Infraprojects Ltd,INE737W01013
24634,538778,Akashdeep Metal Industries Ltd,INE149Q01013
73237,AKG,AKG Exim Ltd,INE00Y801016
72485,542020,AKI India Ltd,INE642Z01018
71402,540718,AKM Lace & Embrotex Ltd,INE777X01017
64811,539017,Akme Star Housing Finance Ltd,INE526R01010
15046,AKSHOPTFBR,Aksh Optifibre Ltd,INE523B01011
72537,541303,Akshar Spintex Ltd,INE256Z01017
3971,AKSHARCHEM,AksharChem (India) Ltd,INE542B01011
266,AKZOINDIA,Akzo Nobel India Ltd,INE133A01011
38490,535916,Alacrity Securities Ltd,INE030P01017
4167,539115,Alan Scott Industries Ltd,INE273F01022
12777,531517,Alang Industrial Gases Ltd,INE848C01010
4097,520133,Alang Marine Ltd,
5553,ALANKIT,Alankit Ltd,INE914E01040
1254,ALBERTDAVD,Albert David Ltd,INE155C01010
6610,531409,Alchemist Corporation Ltd,INE057D01016
4502,ALCHEM,Alchemist Ltd,INE964B01033
6653,532114,Alchemist Realty Ltd,INE646D01024
632,ALEMBICLTD,Alembic Ltd,INE426A01027
40294,APLLTD,Alembic Pharmaceuticals Ltd,INE901L01018
3702,511463,Alexander Stamps & Coin Ltd,INE191N01012
5730,530973,Alfa Ica (India) Ltd,INE042C01010
4497,517546,Alfa Transformers Ltd,INE209C01015
5918,531156,Alfavision Overseas Ltd,INE883B01019
11,ALFREDHERB,Alfred Herbert (India) Ltd,INE782D01027
5951,ALICON,Alicon Castalloy Ltd,INE062D01024
14412,531581,Alka Diamond Industries Ltd,INE963D01015
5279,530889,Alka India Ltd,INE061B01020
18963,532166,Alka Securities Ltd,INE921C01031
25502,ALKALI,Alkali Metals Ltd,INE773I01017
19299,ALKEM,Alkem Laboratories Ltd,INE540L01014
633,ALKYLAMINE,Alkyl Amines Chemicals Ltd,INE150B01021
2767,511088,All Metal Process Industries Ltd,
5675,ALBK,Allahabad Bank,INE428A01015
27333,ALLCARGO,Allcargo Logistics Ltd,INE418H01029
7708,534064,Alliance Integrated Metaliks Ltd,INE123D01016
27665,532919,Allied Computers International (Asia) Ltd,INE335I01056
18410,ADSL,Allied Digital Services Ltd,INE102I01027
7619,523030,Allied Herbals Ltd,INE608D01016
24853,ALLSEC,Allsec Technologies Ltd,INE835G01018
23291,532327,Allsoft Corporation Ltd,INE347B01015
6570,ALMONDZ,Almondz Global Securities Ltd,INE326B01027
7032,506120,Alna Trading & Exports Ltd,INE07I701011
3118,ALOKINDS,Alok Industries Ltd,INE270A01029
43590,539693,Alora Trading Company Ltd,INE527R01018
27710,ALPA,Alpa Laboratories Ltd,INE385I01010
7195,531720,Alpha Graphic India Ltd,INE952B01020
6252,531247,Alpha Hi-Tech Fuel Ltd,INE506B01016
3559,ALPHAGEO,Alphageo (India) Ltd,INE137C01018
74495,542770,Alphalogic Techsys Ltd,INE08E401011
3976,ALPINEHOU,Alpine Housing Development Corporation Ltd,INE840D01015
13,ALPINEIND,Alpine Industries Ltd,INE430A01011
5135,ALPSINDUS,Alps Industries Ltd,INE093B01015
14515,538423,Alps Motor Finance Ltd,INE729P01022
54821,539277,Alstone Textiles (India) Ltd,INE184S01016
4079,524634,Alufluoride Ltd,INE058F01019
1459,503928,Aluminium Industries Ltd,INE03M001014
5930,531708,Amajin Agro Exports,
439,506597,Amal Ltd,INE841D01013
1509,501622,Amalgamated Electricity Company Ltd,INE492N01022
1690,512008,Amani Trading & Exports Ltd,INE886D01018
21338,AMAR,Amar Remedies Ltd,INE787G01011
2110,AMARAJABAT,Amara Raja Batteries Ltd,INE885A01032
3374,AMARJOTHI,Amarjothi Spinning Mills Ltd,INE484D01012
7349,538465,Amarnath Securities Ltd,INE745P01010
5893,531112,Amaze Entertech Ltd,INE011E01029
7637,539196,Amba Enterprises Ltd,INE829P01020
14,AMBASARABH,Ambalal Sarabhai Enterprises Ltd,INE432A01017
73033,AMBANIORG,Ambani Organics Ltd,INE00C501018
4340,519471,Ambar Protein Industries Ltd,INE072V01017
74025,542524,Ambassador Intra Holdings Ltd,INE342U01016
45967,AMBER,Amber Enterprises India Ltd,INE371P01015
24302,536820,Amber Fabrics Ltd,INE777E01017
7817,AMBICAAGAR,Ambica Agarbathies Aroma & Industries Ltd,INE792B01012
16020,AMBIKCO,Ambika Cotton Mills Ltd,INE540G01014
65918,539223,Ambition Mica Ltd,INE563S01011
3640,526439,Ambitious Plastomac Company Ltd,INE267C01013
2012,519164,Ambuja Agro Industries Ltd,
218,AMBUJACEM,Ambuja Cements Ltd,INE079A01024
4849,530133,Amco India Ltd,INE924B01011
27530,AMDIND,AMD Industries Ltd,INE005I01014
638,AMFORGEIND,Amforge Industries Ltd,INE991A01020
